90,0.78
68,0.88
3,0.23
24,0.48
73,0.96
76,0.26
41,0.08
17,0.92
6,0.81
51,0.10
46,0.12
44,0.38
5,0.37
63,0.54
49,0.83
65,0.65
88,0.90
28,0.39
69,0.96
76,0.42
73,0.87
50,0.32
26,0.64
6,0.96
16,0.59
3,0.93
22,0.58
75,0.26
56,0.66
31,0.60
56,0.95
75,0.85
43,0.00
12,0.22
56,0.70
45,0.27
61,0.62
52,0.92
25,1.00
86,0.48
81,0.74
53,0.15
28,0.07
42,0.98
63,0.18
35,0.59
43,0.72
88,0.16
3,0.08
41,0.57
39,0.71
12,0.07
17,0.85
29,0.59
42,0.07
10,0.85
79,0.44
87,0.31
24,0.26
52,0.90
6,0.78
23,0.54
79,0.65
52,0.56
80,0.62
32,0.39
64,0.83
3,0.32
27,0.65
13,0.54
35,0.59
72,0.43
50,0.29
70,0.91
24,0.76
48,0.26
70,0.22
4,0.61
78,0.42
87,0.47
15,0.79
9,0.56
18,0.25
32,0.37
36,0.68
73,0.77
89,0.61
47,0.43
16,0.81
48,0.76
12,0.15
52,0.25
12,0.54
50,0.64
86,0.23
24,0.82
47,0.81
77,0.23
46,0.07
49,0.03
