55,0.02
60,0.84
4,0.87
3,0.02
57,0.77
32,0.03
3,0.51
63,0.88
71,0.19
50,0.17
57,0.54
35,0.62
59,0.16
2,0.61
44,0.16
76,0.11
54,0.52
87,0.33
3,0.33
0,0.15
2,0.5
30,0.51
44,0.95
75,0.67
49,0.44
47,0.5
75,0.44
63,0.31
21,0.97
38,0.21
88,0.74
23,0.85
64,0.96
29,0.95
4,0.46
80,0.07
35,0.91
17,0.65
56,0.66
86,0.94
5,0.34
48,0.32
85,0.08
47,0.29
44,0.93
76,0.46
28,0.98
43,0.94
40,0.74
32,0.44
72,0.72
54,0.85
55,0.8
66,0.89
31,0.18
71,0.23
85,0.39
26,0.22
30,0.23
45,0.26
54,0.81
17,0.05
79,0.45
68,0.48
19,0.47
8,0.87
59,0.55
45,0.04
15,0.18
85,0.59
3,0.52
21,0.73
58,0.11
43,0.42
78,0.91
58,0.31
82,0.78
65,0.38
13,0.87
62,0.07
69,0.48
21,0.93
13,0.4
50,0.88
82,0.95
76,0.24
8,0.28
66,0.53
82,0.83
81,0.19
43,0.98
5,0.1
39,0.92
64,0.24
51,0.87
78,0.73
7,0.28
19,0.05
29,0.36
69,0.12
